1430001	国立国会図書館(支部図書館) (14)	2004	国立国会図書館支部国土交通省図書館北海道開発局分館 / NDL支部国交省分館	コクリツコッカイトショカンシブコクドコウツウショウトショカンホッカイドウカイハツキョクブンカン	060-8511 北海道 札幌市北区 北８条西２丁目　札幌第１合同庁舎１６階	011-709-2311 （内）5400		JP-1004931
2110028	公共図書館(都道府県立) (21)	2004	北海道立図書館 / 北海道立	ホッカイドウリツトショカン	069-0834 北海道 江別市 文京台東町41	011-386-8521		JP-1000031
2210002	公共図書館(政令都市立) (22)	2004	札幌市中央図書館 / 札幌市中央図書館	サッポロシチュウオウトショカン	064-8516 北海道 札幌市中央区 南22条西13丁目	011-512-7320	011-512-7320	JP-1000032
2300016	公共図書館(市立) (23)	2014	市立小樽図書館 / 市立小樽	シリツオタルトショカン	047-0024 北海道 小樽市 花園5丁目1番1号	0134-22-7726		JP-1000043
2300026	公共図書館(市立) (23)	2015	旭川市中央図書館 / 旭川市	アサヒカワシチュウオウトショカン	070-0044 北海道 旭川市 常磐公園	0166-22-4174		JP-1000044
2300032	公共図書館(市立) (23)	2015	苫小牧市立中央図書館 / 苫小牧市	トマコマイシリツチュウオウトショカン	053-0011 北海道 苫小牧市 末広町3丁目1-15	0144-35-0511		JP-1000066
2300043	公共図書館(市立) (23)	2015	北見市立中央図書館 / 北見市立中央	キタミシリツチュウオウトショカン	090-0811 北海道 北見市 泉町1丁目2-21	0157-57-4646		JP-1000053
2310147	公共図書館(市立) (23)	2005	紋別市立図書館 / 紋別市立	モンベツシリツトショカン	094-0005 北海道 紋別市 幸町3丁目1-8	0158-24-2261		JP-1000074
2310148	公共図書館(市立) (23)	2005	恵庭市立図書館 / 恵庭市立	エニワシリツトショカン	061-1373 北海道 恵庭市 恵み野西5丁目10-2	0123-37-2181		JP-1000088
2310149	公共図書館(市立) (23)	2005	石狩市民図書館 / 石狩市民	イシカリシミントショカン	061-3217 北海道 石狩市 花川北7条1丁目26	0133-72-2000		JP-1000093
2310156	公共図書館(市立) (23)	2005	市立留萌図書館 / 市立留萌	シリツルモイトショカン	077-0027 北海道 留萌市 住之江町2丁目	0164-42-2303		JP-1000065
2310212	公共図書館(市立) (23)	2008	釧路市中央図書館 / 釧路中央	クシロシチュウオウトショカン	085-0015 北海道 釧路市 北大通10丁目2-1	0154-64-1740		JP-1000050
2310264	公共図書館(市立) (23)	2011	登別市立図書館 / 登別市	ノボリベツシリツトショカン	059-0012 北海道 登別市 中央町5丁目21-1	0143-85-4324		JP-1000087
2310295	公共図書館(市立) (23)	2012	函館市中央図書館 / 函館市	ハコダテシチュウオウトショカン	040-0001 北海道 函館市 五稜郭町26-1	0138-35-5500	0138-35-5525	JP-1000042
2310296	公共図書館(市立) (23)	2013	根室市図書館 / 根室市	ネムロシトショカン	087-0049 北海道 根室市 弥生町2丁目5番地	0153-23-5974		JP-1000080
2400001	公共図書館(町村立) (24)	2013	中標津町図書館 / 中標津町	ナカシベツチョウトショカン	086-1002 北海道 標津郡中標津町 東2条南3丁目	0153-73-1121		JP-1000172
3110002	大学図書館(国立大学) (31)	2004	帯広畜産大学附属図書館 / 帯広畜産大学	オビヒロチクサンダイガクフゾクトショカン	080-8555 北海道 帯広市 稲田町西2-11	0155-49-5337		JP-1003257
3110009	大学図書館(国立大学) (31)	2004	室蘭工業大学附属図書館 / 室蘭工業大学	ムロランコウギョウダイガクフゾクトショカン	050-8585 北海道 室蘭市 水元町27-1	0143-46-5189		JP-1003255
3110015	大学図書館(国立大学) (31)	2004	北海道教育大学附属図書館 / 北海道教育大学	ホッカイドウ キョウイク ダイガク フゾク トショカン	002-8503 北海道 札幌市北区 あいの里5条3丁目1-6	011-778-0289		JP-1003250,JP-1003251,JP-1003252,JP-1003253,JP-1003254
3110020	大学図書館(国立大学) (31)	2004	北海道大学附属図書館 / 北海道大学	ホッカイドウダイガクフゾクトショカン	060-0808 北海道 札幌市北区 北8条西5丁目	011-706-2973		JP-1003232
3210005	大学図書館(公立大学) (32)	2004	札幌医科大学付属図書館 / 札幌医科大学	サッポロイカダイガクフゾクトショカン	060-8556 北海道 札幌市中央区 南1条西17丁目	011-611-2111		JP-1003525
3310046	大学図書館(私立大学) (33)	2005	札幌大学図書館 / 札幌大学	サッポロダイガクトショカン	062-8520 北海道 札幌市豊平区 西岡3条7丁目3-1	011-852-9178		JP-1003650
4110024	専門図書館(国公立) (41)	2012	地方独立行政法人 北海道立総合研究機構 地質研究所 図書室 / 道総研 地質研究所	チホウドクリツギョウセイホウジン ホッカイドウリツソウゴウケンキュウキコウ チシツケンキュウショ トショシツ	060-0819 北海道 札幌市北区 北十九条西12丁目	011-747-2420	011-747-2431 011-747-2434	JP-1004969
2110025	公共図書館(都道府県立) (21)	2004	青森県立図書館 / 青森県立	アオモリケンリツトショカン	030-0184 青森県 青森市 荒川字藤戸119-7	017-739-4211 （代表）	017-729-4311 （参考郷土室直通）	JP-1000175
2310086	公共図書館(市立) (23)	2004	五所川原市立図書館 / 五所川原市立	ゴショガワラシリツトショカン	037-0046 青森県 五所川原市 字栄町119番地	0173-34-4334		JP-1000183
2310102	公共図書館(市立) (23)	2005	むつ市立図書館 / むつ市立	ムツシリツトショカン	035-0073 青森県 むつ市 中央2丁目3-10	0175-28-3500		JP-1000188
2110044	公共図書館(都道府県立) (21)	2004	岩手県立図書館 / 岩手県立	イワテケンリツトショカン	020-0045 岩手県 盛岡市 盛岡駅西通一丁目７番１号（アイーナ・いわて県民情報交流センター内）	019-606-1730		JP-1000211
2310067	公共図書館(市立) (23)	2004	陸前高田市立図書館 / 陸前高田市立	リクゼンタカタシリツトショカン	029-2205 岩手県 陸前高田市 高田町字馬場前89-1	0192-54-3227		JP-1005792
2310127	公共図書館(市立) (23)	2005	遠野市立図書館 / 遠野市立	トオノシリツトショカン	028-0515 岩手県 遠野市 東舘町3番9号	0198-62-2340		JP-1000226
2310145	公共図書館(市立) (23)	2005	奥州市立水沢図書館 / 奥州市立水沢	オウシュウシリツミズサワトショカン	023-0003 岩手県 奥州市 水沢区佐倉河字石橋51	0197-23-3372		JP-1000239
2310176	公共図書館(市立) (23)	2006	盛岡市立図書館 / 盛岡市立	モリオカシリツトショカン	020-0114 岩手県 盛岡市 高松1丁目9-45	019-661-4343		JP-1000212
2310242	公共図書館(市立) (23)	2010	八幡平市立図書館 / 八幡平市	ハチマンタイシリツトショカン	028-7111 岩手県 八幡平市 大更第35地割57番地1	0195-75-1700		JP-1000238
2310243	公共図書館(市立) (23)	2010	一関市立大東図書館 / 大東	イチノセキシリツダイトウトショカン	029-0523 岩手県 一関市 大東町摺沢字新右エ門土手12-2	0191-75-3541		JP-1000230
2310244	公共図書館(市立) (23)	2010	一関市立千厩図書館 / 千厩図書館	イチノセキシリツセンマヤトショカン	029-0803 岩手県 一関市 千厩町千厩字北方171-7	0191-51-1122		JP-1000231
2310245	公共図書館(市立) (23)	2010	一関市立川崎図書館 / 川崎	イチノセキシリツカワサキトショカン	029-0202 岩手県 一関市 川崎町薄衣字諏訪前7‐1	0191-43-3273		JP-1000234
2400003	公共図書館(町村立) (24)	2013	紫波町図書館 / 紫波町図書館	シワチョウトショカン	028-3318 岩手県 紫波郡紫波町 紫波中央駅前2丁目3-3　オガールプラザ	019-671-3746		JP-1005354
2410027	公共図書館(町村立) (24)	2005	一戸町立図書館 / 一戸町立	イチノヘチョウリツトショカン	028-5312 岩手県 二戸郡一戸町 一戸字砂森117-2	0195-31-1400		JP-1000256
